Province,District,LocalLevel,Ward,Population2021,Female,Density,SourceFile
7,Bagmati ,MelungGaunpalika,1,3581,1886,211.184473618424,WardPopulationBagmati.xlsx
7,Bagmati ,MelungGaunpalika,2,1341,720,216.799451615406,WardPopulationBagmati.xlsx
7,Bagmati ,MelungGaunpalika,3,1797,953,125.698274198369,WardPopulationBagmati.xlsx
7,Bagmati ,MelungGaunpalika,4,2833,1521,154.016542670574,WardPopulationBagmati.xlsx
7,Bagmati ,MelungGaunpalika,5,2275,1236,160.143544930471,WardPopulationBagmati.xlsx
7,Bagmati ,MelungGaunpalika,6,2009,1083,195.615467701588,WardPopulationBagmati.xlsx
7,Bagmati ,MelungGaunpalika,7,2057,1038,330.944110988712,WardPopulationBagmati.xlsx
8,Bagmati ,ShailungGaunpalika,1,1910,1020,88.9283546615499,WardPopulationBagmati.xlsx
8,Bagmati ,ShailungGaunpalika,2,1950,1008,80.6858579290034,WardPopulationBagmati.xlsx
8,Bagmati ,ShailungGaunpalika,3,2711,1386,172.762024421706,WardPopulationBagmati.xlsx
8,Bagmati ,ShailungGaunpalika,4,1997,1034,149.406421827672,WardPopulationBagmati.xlsx
8,Bagmati ,ShailungGaunpalika,5,1377,756,163.796072105957,WardPopulationBagmati.xlsx
8,Bagmati ,ShailungGaunpalika,6,1758,928,120.173772094748,WardPopulationBagmati.xlsx
8,Bagmati ,ShailungGaunpalika,7,1975,1058,204.446393327532,WardPopulationBagmati.xlsx
8,Bagmati ,ShailungGaunpalika,8,4245,2149,199.705536656057,WardPopulationBagmati.xlsx
6,Bagmati ,TamakoshiGaunpalika,1,2107,1077,201.092964599908,WardPopulationBagmati.xlsx
6,Bagmati ,TamakoshiGaunpalika,2,1710,891,182.797123093979,WardPopulationBagmati.xlsx
6,Bagmati ,TamakoshiGaunpalika,3,3002,1513,236.29411485972,WardPopulationBagmati.xlsx
6,Bagmati ,TamakoshiGaunpalika,4,1965,1047,223.050884320136,WardPopulationBagmati.xlsx
6,Bagmati ,TamakoshiGaunpalika,5,2372,1263,175.758266881222,WardPopulationBagmati.xlsx
6,Bagmati ,TamakoshiGaunpalika,6,2139,1104,258.846712646749,WardPopulationBagmati.xlsx
6,Bagmati ,TamakoshiGaunpalika,7,1868,951,98.051113394538,WardPopulationBagmati.xlsx
8,Bagmati ,BalephiGaunpalika,1,2482,1221,350.163470754861,WardPopulationBagmati.xlsx
8,Bagmati ,BalephiGaunpalika,2,1487,758,188.211528494048,WardPopulationBagmati.xlsx
8,Bagmati ,BalephiGaunpalika,3,2016,1019,162.347676245877,WardPopulationBagmati.xlsx
8,Bagmati ,BalephiGaunpalika,4,1841,947,208.670373012177,WardPopulationBagmati.xlsx
8,Bagmati ,BalephiGaunpalika,5,2555,1301,257.147259630467,WardPopulationBagmati.xlsx
8,Bagmati ,BalephiGaunpalika,6,2311,1170,444.995409480501,WardPopulationBagmati.xlsx
8,Bagmati ,BalephiGaunpalika,7,2630,1373,351.141456735033,WardPopulationBagmati.xlsx
8,Bagmati ,BalephiGaunpalika,8,1763,889,635.510663277757,WardPopulationBagmati.xlsx
9,Bagmati ,BahrabiseMunicipality,1,830,419,69.2417189198325,WardPopulationBagmati.xlsx
9,Bagmati ,BahrabiseMunicipality,2,3311,1661,126.84863884821,WardPopulationBagmati.xlsx
9,Bagmati ,BahrabiseMunicipality,3,3154,1565,465.647016825153,WardPopulationBagmati.xlsx
9,Bagmati ,BahrabiseMunicipality,4,2891,1428,778.655100231307,WardPopulationBagmati.xlsx
9,Bagmati ,BahrabiseMunicipality,5,1898,953,295.564277833536,WardPopulationBagmati.xlsx
9,Bagmati ,BahrabiseMunicipality,6,1934,964,150.754857790776,WardPopulationBagmati.xlsx
9,Bagmati ,BahrabiseMunicipality,7,3322,1680,91.3208996345652,WardPopulationBagmati.xlsx
9,Bagmati ,BahrabiseMunicipality,8,3198,1656,166.021305133038,WardPopulationBagmati.xlsx
9,Bagmati ,BahrabiseMunicipality,9,3571,1763,314.765878003762,WardPopulationBagmati.xlsx
1,Bagmati ,BhotekoshiGaunpalika,1,3376,1685,66.8615845577625,WardPopulationBagmati.xlsx
1,Bagmati ,BhotekoshiGaunpalika,2,2226,1080,30.6519002353628,WardPopulationBagmati.xlsx
1,Bagmati ,BhotekoshiGaunpalika,3,1732,864,83.3287988418259,WardPopulationBagmati.xlsx
1,Bagmati ,BhotekoshiGaunpalika,4,3943,1946,46.193487355596,WardPopulationBagmati.xlsx
1,Bagmati ,BhotekoshiGaunpalika,5,3041,1469,61.9825736636187,WardPopulationBagmati.xlsx
7,Bagmati ,Choutara SangachowkgadhiMunicipality,1,3116,1654,136.004010983502,WardPopulationBagmati.xlsx
7,Bagmati ,Choutara SangachowkgadhiMunicipality,2,1697,879,146.06629774526,WardPopulationBagmati.xlsx
7,Bagmati ,Choutara SangachowkgadhiMunicipality,3,1943,1013,184.577824537071,WardPopulationBagmati.xlsx
7,Bagmati ,Choutara SangachowkgadhiMunicipality,4,2817,1454,355.183843258139,WardPopulationBagmati.xlsx
7,Bagmati ,Choutara SangachowkgadhiMunicipality,5,6638,3447,687.869588713467,WardPopulationBagmati.xlsx
7,Bagmati ,Choutara SangachowkgadhiMunicipality,6,2835,1566,228.903476450354,WardPopulationBagmati.xlsx
7,Bagmati ,Choutara SangachowkgadhiMunicipality,7,2860,1499,258.809265625089,WardPopulationBagmati.xlsx
7,Bagmati ,Choutara SangachowkgadhiMunicipality,8,3131,1720,251.68318657441,WardPopulationBagmati.xlsx
7,Bagmati ,Choutara SangachowkgadhiMunicipality,9,3709,1899,267.551049483238,WardPopulationBagmati.xlsx
7,Bagmati ,Choutara SangachowkgadhiMunicipality,10,3110,1605,447.43379454502,WardPopulationBagmati.xlsx
7,Bagmati ,Choutara SangachowkgadhiMunicipality,11,3489,1842,257.279312199265,WardPopulationBagmati.xlsx
7,Bagmati ,Choutara SangachowkgadhiMunicipality,12,2139,1192,213.166345389074,WardPopulationBagmati.xlsx
7,Bagmati ,Choutara SangachowkgadhiMunicipality,13,3147,1745,281.809631549354,WardPopulationBagmati.xlsx
7,Bagmati ,Choutara SangachowkgadhiMunicipality,14,2037,1086,182.461516026785,WardPopulationBagmati.xlsx
4,Bagmati ,HelambuGaunpalika,1,2311,1112,34.0681398176507,WardPopulationBagmati.xlsx
4,Bagmati ,HelambuGaunpalika,2,2750,1351,105.397619033292,WardPopulationBagmati.xlsx
4,Bagmati ,HelambuGaunpalika,3,1929,987,196.871267521313,WardPopulationBagmati.xlsx
4,Bagmati ,HelambuGaunpalika,4,2057,1067,209.374501565016,WardPopulationBagmati.xlsx
4,Bagmati ,HelambuGaunpalika,5,2633,1333,142.268547363566,WardPopulationBagmati.xlsx
4,Bagmati ,HelambuGaunpalika,6,2822,1361,126.857356679283,WardPopulationBagmati.xlsx
4,Bagmati ,HelambuGaunpalika,7,2995,1505,200.290143177024,WardPopulationBagmati.xlsx
6,Bagmati ,IndrawotiGaunpalika,1,1996,956,108.681294065337,WardPopulationBagmati.xlsx
6,Bagmati ,IndrawotiGaunpalika,2,2408,1244,345.062595615871,WardPopulationBagmati.xlsx
6,Bagmati ,IndrawotiGaunpalika,3,1362,701,192.368697065064,WardPopulationBagmati.xlsx
6,Bagmati ,IndrawotiGaunpalika,4,3256,1699,195.309863957922,WardPopulationBagmati.xlsx
